cr_gdp,dy,cr,fd0,fd1,fd2
183,0.64811,0,0.84189,0.86142,0.82572
179.5,0.97556,0,0.84084,0.86209,0.82944
178.3,-0.28774,0,0.83979,0.86276,0.83316
176.3,1.169,0,0.83941,0.8622,0.83987
176.8,1.266,0,0.83902,0.86163,0.84659
175.7,1.1503,0,0.83863,0.86107,0.8533
175.8,1.027,0,0.83824,0.86051,0.86001
176.9,0.81449,0,0.83638,0.86293,0.86491
177.5,0.50606,0,0.83452,0.86534,0.86981
178.1,0.5168,0,0.83267,0.86775,0.87471
178.4,0.2943,0,0.83081,0.87017,0.87962
181.8,0.53777,0,0.82983,0.87053,0.87575
182.3,0.74054,0,0.82885,0.87089,0.87189
184.5,0.80885,0,0.82787,0.87126,0.86803
183.9,0.7005,0,0.8269,0.87162,0.86417
185.8,0.6287,0,0.8256,0.87089,0.85781
187.7,0.43845,0,0.82429,0.87016,0.85145
190.4,0.42863,0,0.82299,0.86944,0.84509
194.9,0.94131,0,0.82169,0.86871,0.83873
197.4,0.22264,0,0.82169,0.86609,0.83199
200.4,0.97082,0,0.82169,0.86346,0.82524
201.4,0.55528,0,0.82169,0.86084,0.8185
202.7,0.96612,0,0.82169,0.85822,0.81176
204,0.76059,0,0.82169,0.85822,0.81176
203,0.025903,0,0.82169,0.85822,0.81176
201.8,0.97166,0,0.82169,0.85822,0.81176
77.3,1.0641,0,0.37774,0.72951,0.18341
78.9,-1.0545,0,0.38211,0.73209,0.19514
80.2,0.51975,0,0.38649,0.73467,0.20688
81.2,0.05504,0,0.39087,0.73726,0.21862
81.9,-0.69504,0,0.39525,0.73984,0.23036
83.3,1.0013,0,0.39448,0.73938,0.23486
83.6,-0.069473,0,0.39372,0.73892,0.23935
84.9,-0.63345,0,0.39295,0.73846,0.24385
84.3,2.008,0,0.39219,0.73801,0.24835
84.4,0.29305,0,0.39267,0.73829,0.25019
83.9,-0.0677,0,0.39316,0.73858,0.25203
84,-0.17505,0,0.39364,0.73887,0.25388
82,1.2065,0,0.39413,0.73916,0.25572
82.1,1.3001,0,0.39179,0.73771,0.27243
81.7,0.83493,0,0.38946,0.73626,0.28915
82.2,1.0085,0,0.38713,0.73481,0.30587
79.9,-1.3264,0,0.3848,0.73337,0.32258
81,-0.70846,0,0.39541,0.73883,0.34041
81.8,0.91572,0,0.40602,0.7443,0.35824
84.7,0.9458,0,0.41663,0.74976,0.37607
83.6,0.47917,0,0.42724,0.75523,0.39389
84.5,0.15556,0,0.42184,0.75215,0.39317
84.7,1.4736,0,0.41643,0.74908,0.39245
86,-0.41723,0,0.41103,0.746,0.39172
83.9,0.89042,0,0.40562,0.74292,0.391
84.5,1.2027,0,0.40868,0.74457,0.38783
85,0.081439,0,0.41175,0.74622,0.38465
87.7,0.073979,0,0.41481,0.74787,0.38148
86,-0.85648,0,0.41787,0.74952,0.37831
87,1.7495,0,0.4225,0.75183,0.38803
87.8,1.2076,0,0.42713,0.75413,0.39776
90.2,0.80692,0,0.43176,0.75643,0.40749
89.4,-1.0161,0,0.43638,0.75874,0.41721
91.6,1.8185,0,0.44105,0.76089,0.392
92.1,1.6476,0,0.44572,0.76305,0.36679
94.4,1.1764,0,0.45039,0.7652,0.34158
91.9,0.81977,0,0.45506,0.76735,0.31637
93.7,0.47452,0,0.45928,0.76918,0.32856
95.6,0.82568,0,0.4635,0.771,0.34075
97.6,1.292,0,0.46772,0.77282,0.35294
96.9,1.2248,0,0.47195,0.77465,0.36513
98.9,1.0724,0,0.4965,0.78862,0.37443
99.5,0.82297,0,0.52106,0.8026,0.38373
101.2,0.68142,0,0.54562,0.81658,0.39302
100.2,0.69032,0,0.57018,0.83055,0.40232
102,0.90803,0,0.56902,0.83027,0.38855
101.5,1.103,0,0.56787,0.82999,0.37478
103,0.60997,0,0.56671,0.8297,0.361
101.5,0.38297,0,0.56555,0.82942,0.34723
